muestra,comp1,comp2,correct_key,relacion,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,intro1.started,intro1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,introduccion2.started,introduccion2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,flechas.keys,flechas.corr,flechas.rt,flechas.started,flechas.stopped,crux.started,crux.stopped,text_3.started,text_3.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,flechas_3.keys,flechas_3.corr,flechas_3.started,flechas_3.stopped,crux_3.started,crux_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
A2.png,B1.png,B2.png,right,A-B,3,1,13,1,,,,,,,,,,,,,,,,,,,,,,,55.24787699999979,None,55.24787699999979,None,55.24787699999979,None,right,1,0.6147111000009318,55.24787699999979,None,54.251866299999165,55.24787699999979,55.88069220000034,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B1.png,B2.png,left,A-B,3,2,14,0,,,,,,,,,,,,,,,,,,,,,,,58.39517689999957,None,58.39517689999957,None,58.39517689999957,None,left,1,0.911673200000223,58.39517689999957,None,57.39553250000063,58.39517689999957,59.32695690000037,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,3,3,15,2,,,,,,,,,,,,,,,,,,,,,,,61.84138259999963,None,61.84138259999963,None,61.84138259999963,None,right,1,0.9349039999997331,61.84138259999963,None,60.8425098000007,61.84138259999963,62.8073516000004,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,4,0,16,2,,,,,,,,,,,,,,,,,,,,,,,65.32174250000025,None,65.32174250000025,None,65.32174250000025,None,right,1,0.9109085999989475,65.32174250000025,None,64.32434409999951,65.32174250000025,66.25360580000051,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B1.png,B2.png,left,A-B,4,1,17,0,,,,,,,,,,,,,,,,,,,,,,,68.75170050000088,None,68.75170050000088,None,68.75170050000088,None,left,1,0.847024100001363,68.75170050000088,None,67.76868599999943,68.75170050000088,69.61732099999972,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B2.png,B1.png,left,A-B,4,2,18,3,,,,,,,,,,,,,,,,,,,,,,,72.13167590000012,None,72.13167590000012,None,72.13167590000012,None,left,1,0.7129629999999452,72.13167590000012,None,71.13342519999969,72.13167590000012,72.86397380000017,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B1.png,B2.png,right,A-B,4,3,19,1,,,,,,,,,,,,,,,,,,,,,,,75.37856029999966,None,75.37856029999966,None,75.37856029999966,None,right,1,0.7497953000001871,75.37856029999966,None,74.3792042999994,75.37856029999966,76.14427409999917,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B1.png,B2.png,right,A-B,5,0,20,1,,,,,,,,,,,,,,,,,,,,,,,78.64228390000062,None,78.64228390000062,None,78.64228390000062,None,right,1,0.7068309999995108,78.64228390000062,None,77.65937870000016,78.64228390000062,79.37642240000059,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B2.png,B1.png,left,A-B,5,1,21,3,,,,,,,,,,,,,,,,,,,,,,,81.88865900000019,None,81.88865900000019,None,81.88865900000019,None,left,1,0.7374184000000241,81.88865900000019,None,80.88918410000042,81.88865900000019,82.65419199999997,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,5,2,22,2,,,,,,,,,,,,,,,,,,,,,,,85.16878550000001,None,85.16878550000001,None,85.16878550000001,None,right,1,1.1095597000003181,85.16878550000001,None,84.16969249999966,85.16878550000001,86.30090989999917,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B1.png,B2.png,left,A-B,5,3,23,0,,,,,,,,,,,,,,,,,,,,,,,88.81516489999922,None,88.81516489999922,None,88.81516489999922,None,left,1,0.8291331999989779,88.81516489999922,None,87.81601389999923,88.81516489999922,89.66436769999927,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B1.png,B2.png,left,A-B,6,0,24,0,,,,,,,,,,,,,,,,,,,,,,,92.17879979999998,None,92.17879979999998,None,92.17879979999998,None,left,1,0.7613620000010997,92.17879979999998,None,91.17928609999944,92.17879979999998,92.96270390000063,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B1.png,B2.png,right,A-B,6,1,25,1,,,,,,,,,,,,,,,,,,,,,,,95.47552750000068,None,95.47552750000068,None,95.47552750000068,None,right,1,0.8779493000001821,95.47552750000068,None,94.48212269999931,95.47552750000068,96.3784556999999,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,6,2,26,2,,,,,,,,,,,,,,,,,,,,,,,98.88885540000047,None,98.88885540000047,None,98.88885540000047,None,right,1,0.849820000001273,98.88885540000047,None,97.88932999999997,98.88885540000047,99.75454610000088,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B2.png,B1.png,left,A-B,6,3,27,3,,,,,,,,,,,,,,,,,,,,,,,102.26890319999984,None,102.26890319999984,None,102.26890319999984,None,left,1,0.921731099999306,102.26890319999984,None,101.27126970000063,102.26890319999984,103.21777459999976,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B1.png,B2.png,left,A-B,7,0,28,0,,,,,,,,,,,,,,,,,,,,,,,105.73243279999951,None,105.73243279999951,None,105.73243279999951,None,left,1,0.7945178999998461,105.73243279999951,None,104.73320930000045,105.73243279999951,106.5474336999996,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,7,1,29,2,,,,,,,,,,,,,,,,,,,,,,,109.0455578000001,None,109.0455578000001,None,109.0455578000001,None,right,1,1.1422422999985429,109.0455578000001,None,108.06309280000096,109.0455578000001,110.21378209999966,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.74201069999981,None,112.74201069999981,None,112.74201069999981,None,None,0,112.74201069999981,None,111.74279670000033,112.74201069999981,,,,,,,
